Image Index,PSNR,SSIM,LPIPS
574,34.8204,0.9211,0.1797
575,35.5210,0.9185,0.2312
576,35.2455,0.9348,0.1438
577,33.4521,0.8854,0.1685
578,34.8860,0.9172,0.1397
579,34.1979,0.8915,0.1746
580,33.9189,0.8970,0.1493
581,33.4575,0.8943,0.1894
582,34.0772,0.9035,0.1930
583,32.3757,0.8792,0.1955
584,34.3879,0.9081,0.1459
585,33.8826,0.8950,0.1602
586,34.3686,0.8678,0.1258
587,38.1678,0.9569,0.2525
588,33.4000,0.8727,0.1706
589,34.4819,0.9121,0.1324
590,36.0493,0.9224,0.2017
591,33.5977,0.8984,0.1351
592,35.7069,0.9176,0.2018
593,33.7644,0.9008,0.1581
594,32.9188,0.8803,0.1996
595,35.1429,0.9301,0.1758
596,33.9092,0.8389,0.1000
597,34.8182,0.9185,0.1307
598,34.3519,0.8807,0.1526
599,34.0130,0.9106,0.1399
600,33.4205,0.8847,0.1399
601,33.4712,0.8990,0.1431
602,33.0869,0.8286,0.1856
603,33.9096,0.9072,0.1223
604,33.6689,0.8958,0.1581
605,33.4659,0.8909,0.1547
606,33.8362,0.8774,0.1449
607,36.4596,0.9315,0.2317
608,33.3994,0.8561,0.1561
609,33.1235,0.9092,0.1321
610,33.8216,0.8976,0.1146
611,34.4214,0.9157,0.1462
612,34.1034,0.9020,0.1201
613,34.5031,0.9027,0.1878
614,33.7704,0.8992,0.1636
615,36.2281,0.9435,0.1598
616,33.8762,0.8928,0.1209
617,34.0953,0.9070,0.1342
618,33.4027,0.9014,0.2021
619,34.5874,0.9120,0.1635
620,32.9900,0.8688,0.1669
621,36.9591,0.9542,0.1217
622,34.0426,0.9018,0.1689
623,35.1703,0.9289,0.1613
624,34.1862,0.9148,0.1330
625,33.7213,0.8852,0.1689
626,33.6110,0.8947,0.1436
627,34.4259,0.9013,0.1713
628,33.4824,0.8998,0.1778
629,33.1404,0.8795,0.1718
630,34.9344,0.9119,0.1343
631,34.4002,0.8452,0.0751
632,33.2922,0.8819,0.1953
633,35.3324,0.9365,0.1664
634,34.5161,0.9311,0.1821
635,34.2087,0.8997,0.1420
636,34.2504,0.9099,0.1443
637,35.1374,0.9424,0.1633
638,33.6992,0.8923,0.1874
639,35.0616,0.9445,0.1482
640,34.0213,0.8953,0.1533
641,34.2770,0.9202,0.1288
642,32.8067,0.8911,0.1785
643,32.7073,0.8960,0.1611
644,33.9093,0.9090,0.1359
645,34.5877,0.9069,0.1443
646,36.9096,0.9449,0.1642
647,33.9307,0.9046,0.1450
648,34.0814,0.8817,0.1331
649,34.2595,0.8783,0.1290
650,34.0002,0.9116,0.1731
651,34.3807,0.9078,0.1497
652,33.9982,0.9052,0.1476
653,34.2575,0.9048,0.1472
654,36.8010,0.9449,0.1569
655,33.4998,0.8913,0.1648
656,34.1285,0.9113,0.1722
657,33.9366,0.9122,0.1262
658,35.1435,0.9189,0.2334
659,34.1695,0.9103,0.1617
660,34.3203,0.8995,0.1603
661,34.1960,0.9123,0.2056
662,34.3330,0.9140,0.1291
663,34.2735,0.8881,0.1534
664,37.5140,0.9577,0.2537
665,33.9269,0.8807,0.1706
666,35.0288,0.9359,0.1512
667,32.8285,0.8865,0.1413
668,35.0303,0.9216,0.1450
669,35.7883,0.9332,0.1992
670,34.7553,0.9199,0.1386
671,33.8622,0.9066,0.1631
672,32.6773,0.8946,0.1097
673,34.4672,0.8496,0.1049
674,33.8635,0.8826,0.1419
675,35.6976,0.9392,0.1619
676,34.6811,0.9113,0.1534
677,33.5935,0.8845,0.1674
678,34.6676,0.7916,0.0928
679,32.3724,0.8676,0.1766
680,33.9606,0.8979,0.1656
681,34.8018,0.9192,0.1716
682,35.2871,0.9202,0.1594
683,32.9530,0.8692,0.1627
684,34.5763,0.9049,0.1733
685,34.4452,0.8885,0.1366
686,36.0687,0.9276,0.1998
687,36.8772,0.9502,0.1947
688,32.9286,0.8908,0.1822
689,33.7053,0.9154,0.1285
690,33.0300,0.8844,0.1463
691,33.8918,0.8893,0.1318
692,35.4418,0.9378,0.1647
693,34.1555,0.8762,0.1392
694,34.1051,0.8909,0.1437
695,34.8126,0.9208,0.1539
696,34.9863,0.9236,0.1663
697,33.9286,0.9019,0.1634
698,34.3309,0.9039,0.1951
699,35.9630,0.9418,0.1406
700,33.2072,0.8842,0.1703
701,35.0847,0.9288,0.1379
702,36.9213,0.9440,0.1735
703,33.5352,0.8963,0.2100
704,33.0219,0.8839,0.1776
705,34.5406,0.9069,0.1366
706,32.4125,0.8827,0.1506
707,35.6265,0.9312,0.1686
708,31.7493,0.8574,0.1379
709,36.5392,0.9430,0.1836
710,34.4434,0.9120,0.1786
711,39.2057,0.9708,0.1868
712,34.2074,0.9160,0.1419
713,36.4794,0.9510,0.1733
714,34.3248,0.9017,0.1571
715,34.1809,0.8959,0.1442
716,34.4580,0.9066,0.1755
717,33.0487,0.8553,0.1608
718,33.7818,0.8868,0.1837
719,34.1807,0.8716,0.1358
720,34.2461,0.8898,0.1405
721,35.9208,0.9393,0.1545
722,36.0377,0.9407,0.1442
723,34.9843,0.9226,0.1551
724,33.2527,0.8989,0.1334
725,33.2618,0.8790,0.1704
726,33.9433,0.7617,0.1077
727,34.1516,0.8872,0.1553
728,35.6325,0.9242,0.1749
729,34.2955,0.9019,0.2151
730,33.5573,0.8858,0.1457
731,34.8812,0.9194,0.1539
732,37.4138,0.9544,0.1098
733,34.0215,0.8985,0.1514
734,33.9323,0.9009,0.1565
735,34.2836,0.9125,0.1367
736,32.9803,0.8866,0.1812
737,31.5060,0.8362,0.2112
738,35.3500,0.9151,0.1461
739,34.7413,0.9257,0.1533
740,33.7095,0.8925,0.1380
741,34.8698,0.9273,0.1625
742,33.7561,0.8971,0.1635
743,33.9669,0.9087,0.1421
744,35.6742,0.9338,0.1641
745,34.4398,0.8960,0.1389
746,34.8859,0.9067,0.1344
747,35.6099,0.9272,0.1282
748,35.0745,0.9146,0.1797
749,34.5453,0.9071,0.1423
750,34.8529,0.9256,0.1406
751,34.5392,0.9172,0.1421
752,34.6455,0.9093,0.1666
753,34.4960,0.9114,0.1468
754,38.1523,0.9608,0.2029
755,34.0499,0.9187,0.1458
756,34.4288,0.9157,0.1421
757,36.0650,0.9329,0.2034
758,34.2424,0.9030,0.1419
759,34.0527,0.9003,0.1493
760,33.9764,0.8983,0.1312
761,34.2487,0.8674,0.1438
762,34.1093,0.9177,0.1242
763,34.6598,0.9065,0.1492
764,35.8960,0.9213,0.2093
765,35.6620,0.9191,0.2027
766,34.0163,0.9059,0.1629
767,35.5042,0.9364,0.1747
768,33.6183,0.9014,0.1431
769,33.4305,0.8268,0.1673
770,34.5504,0.9013,0.1510
771,34.3395,0.9163,0.1333
772,36.9512,0.9477,0.1354
773,34.5905,0.9125,0.1513
774,32.6437,0.8594,0.1847
775,36.5053,0.9291,0.2055
776,34.5088,0.9143,0.1833
777,37.7302,0.9609,0.1642
778,34.5164,0.9099,0.1542
779,33.9777,0.8998,0.1788
780,33.8964,0.9031,0.1695
781,33.6359,0.8989,0.1464
782,33.4461,0.8840,0.1766
783,34.0148,0.8806,0.1321
784,33.3527,0.8897,0.1752
785,34.3325,0.8958,0.1333
786,34.4478,0.9081,0.1487
787,34.7672,0.9148,0.1582
788,34.6720,0.9189,0.1615
789,34.0731,0.9122,0.1244
790,33.3004,0.8843,0.1224
791,32.9743,0.8780,0.1572
792,36.1690,0.9338,0.1610
793,34.5985,0.9280,0.1484
794,33.3739,0.8806,0.1726
795,34.9168,0.9249,0.1348
796,34.6319,0.9235,0.1546
797,35.1496,0.9347,0.1523
798,33.1632,0.8346,0.1559
799,34.0867,0.9083,0.1983
800,32.1166,0.8645,0.1789
801,34.6365,0.9231,0.1337
802,33.3082,0.8966,0.1636
803,36.4204,0.9115,0.2242
804,33.8031,0.8988,0.1614
805,35.1608,0.9208,0.1663
806,34.0192,0.9119,0.1321
807,36.2649,0.9551,0.1326
808,36.3857,0.9458,0.1799
809,34.9131,0.9053,0.1334
810,33.8420,0.8988,0.1253
811,35.0473,0.9051,0.1464
812,34.2890,0.9072,0.1501
813,34.5402,0.9098,0.1244
814,34.5541,0.9189,0.1752
815,34.1628,0.9070,0.1513
816,34.9863,0.8452,0.2644
817,34.4886,0.8931,0.1457
